
---	Treino para o 0-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.2067526877. Bit fail 3390.
Epochs           30. Current error: 0.0009342668. Bit fail 5.

---	Treino para o 1-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0009458865. Bit fail 7.

---	Treino para o 2-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008969257. Bit fail 9.

---	Treino para o 3-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008133313. Bit fail 10.

---	Treino para o 4-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008422286. Bit fail 11.

---	Treino para o 5-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008724841. Bit fail 0.

---	Treino para o 6-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0009717941. Bit fail 0.

---	Treino para o 7-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008008308. Bit fail 0.

---	Treino para o 8-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0007304936. Bit fail 0.

---	Treino para o 9-fold	---
Max epochs   100000. Desired error: 0.0010000000.
Epochs            1. Current error: 0.0008352282. Bit fail 0.



>>>	ACURACIA: 0.012877
>>>	Hidden neurons: 20

1 0.170498 0.164079 0.165231 0.159712 0.176336 0.184415 0.146488 0.075582 0.076892 0.039763 0.054131 0.248550 0.016598 0.009536 0.048149 0.033941 0.010497 0.038896 0.277518 0.056092 0.006157 0.028326 0.045295 0.015302 0.015753 0.015326 0.038292 0.029640 0.018827 0.475946 0.489860 0.493046 0.510245 0.506802 0.505420 0.386312 0.376599 0.423179 0.415152 0.430438 0.388611 0.575060 0.601157 0.606662 0.591666 0.602630 0.443923 0.178183 0.180851 0.192264 0.174078 0.207753 0.198990 0.124266 0.131922 0.129509 0.164281 0.153715 0.134817 0.157237 0.112432 0.521105 0.580230 0.571041 0.166196 0.050353 0.052970 0.054583 0.043111 0.056247 0.056757 0.173431 0.150911 0.158741 0.145891 0.146908 0.155914 0.070085 0.040446 0.037619 0.048818 0.089529 0.054624 0.030920 0.319677 0.257272 0.194377 0.031298 0.271256 0.021880 0.295917 0.272757 0.003573 0.036966 0.310201 0.294655 0.163382 0.070108 0.082914 0.144370 0.021654 0.080211 0.011080 0.245848 0.263593 0.313022 0.265470 0.271043 3.989609 4.003058 3.963567 3.957302 3.976497 4.015334 3.848202 3.875403 3.921669 3.948435 4.033970 3.668049 3.937010 3.766611 3.962056 3.866973 3.810903 3.770465 3.912081 3.584933 3.598561 3.611862 3.601553 3.622706 3.583200 3.510255 3.524061 3.543475 3.556781 3.544125 3.568140 3.923615 4.021374 3.967512 4.011423 3.969280 4.048291 3.858372 3.907460 3.923543 3.962083 3.930804 3.937618 3.951422 3.624756 3.619776 3.596961 3.635629 3.592257 3.661017 3.657828 3.602001 3.561968 3.583845 3.550222 3.471882 4.061885 4.023645 4.067237 3.996885 4.035918 4.037787 3.532845 3.526948 3.558917 3.582420 3.554675 3.562559 3.783892 3.756183 3.756596 3.759973 3.750636 3.756604 3.577364 3.578987 3.579487 0.051264 0.091429 0.053747 0.008029 0.070948 0.049639 0.031192 0.025652 0.007003 
0.170498 1 0.006575 0.005436 0.010807 0.006163 0.014653 0.024969 0.094981 0.093675 0.130771 0.116412 0.078319 0.154395 0.161888 0.122620 0.136778 0.161269 0.209031 0.107249 0.226274 0.165374 0.142331 0.125332 0.155445 0.154845 0.155848 0.132480 0.141333 0.152211 0.306375 0.320384 0.323581 0.340881 0.337424 0.336029 0.216341 0.206604 0.253372 0.245311 0.260662 0.218673 0.406038 0.432302 0.437847 0.422752 0.433788 0.274218 0.008408 0.011400 0.022333 0.006097 0.037567 0.028985 0.046293 0.038626 0.041070 0.006980 0.017058 0.035779 0.014314 0.058472 0.351768 0.411242 0.401997 0.006314 0.220665 0.223309 0.224936 0.213497 0.226594 0.227043 0.006152 0.020084 0.013029 0.025237 0.023909 0.015774 0.100477 0.130110 0.132963 0.121732 0.081012 0.115948 0.200493 0.149503 0.086987 0.024404 0.201093 0.101068 0.190394 0.125669 0.102452 0.172664 0.207340 0.139994 0.124421 0.008568 0.100815 0.088409 0.028631 0.190686 0.249815 0.160661 0.075739 0.093417 0.142947 0.095273 0.100960 4.082486 4.095288 4.050464 4.044553 4.064000 4.107543 3.941432 3.968569 4.014536 4.041290 4.125782 3.758172 4.029368 3.858728 4.055248 3.959966 3.903544 3.862828 4.005287 3.672603 3.686658 3.700733 3.689760 3.712750 3.670872 3.598798 3.611686 3.631018 3.645286 3.632224 3.656054 4.016760 4.113869 4.056920 4.104160 4.057913 4.140589 3.947049 3.995998 4.011994 4.050554 4.020206 4.026126 4.039738 3.714081 3.709667 3.685932 3.725243 3.680951 3.750779 3.746687 3.692817 3.649857 3.673408 3.638732 3.560167 4.153149 4.109588 4.153124 4.089317 4.122387 4.123558 3.619992 3.614466 3.647153 3.670826 3.641943 3.649913 3.872764 3.844141 3.844767 3.847700 3.838372 3.844310 3.665347 3.667545 3.668159 0.119435 0.079325 0.117010 0.177395 0.099732 0.121047 0.201133 0.195583 0.164373 
0.164079 0.006575 1 0.001171 0.004479 0.012279 0.020596 0.018417 0.088544 0.087233 0.124349 0.109982 0.084679 0.147958 0.155454 0.116173 0.130363 0.154879 0.202651 0.113715 0.219895 0.158978 0.135910 0.118929 0.149009 0.148422 0.149398 0.126028 0.134882 0.145761 0.312770 0.326763 0.329961 0.347255 0.343797 0.342405 0.222750 0.213003 0.259765 0.251706 0.267056 0.225066 0.412438 0.438698 0.444237 0.429145 0.440180 0.280617 0.014316 0.017126 0.028424 0.010621 0.043832 0.035139 0.039844 0.032182 0.034605 0.001751 0.010496 0.029301 0.008058 0.051971 0.358165 0.417633 0.408388 0.004214 0.214271 0.216912 0.218536 0.207087 0.220195 0.220654 0.010173 0.013518 0.006765 0.018665 0.017360 0.009347 0.094041 0.123706 0.126563 0.115324 0.074589 0.109512 0.194136 0.155961 0.093468 0.030967 0.194727 0.107575 0.184055 0.132105 0.108899 0.166256 0.200928 0.146415 0.130833 0.006022 0.094485 0.082155 0.023460 0.184331 0.243484 0.154206 0.082036 0.099753 0.149299 0.101623 0.107275 4.078527 4.091351 4.046691 4.040768 4.060209 4.103606 3.937459 3.964598 4.010578 4.037334 4.121859 3.754283 4.025423 3.854786 4.051278 3.955998 3.899587 3.858879 4.001315 3.668801 3.682843 3.696894 3.685941 3.708874 3.667070 3.594974 3.607888 3.627221 3.641460 3.628411 3.652245 4.012791 4.109924 4.053068 4.100207 4.054086 4.136652 3.943215 3.992171 4.008171 4.046738 4.016353 4.022302 4.035920 3.710226 3.705796 3.682090 3.721380 3.677117 3.746910 3.742847 3.688919 3.646049 3.669548 3.634906 3.556350 4.149245 4.105849 4.149393 4.085371 4.118634 4.119828 3.616207 3.610672 3.643335 3.667000 3.638154 3.646121 3.868921 3.840327 3.840947 3.843893 3.834565 3.840503 3.661536 3.663711 3.664324 0.112997 0.072861 0.110565 0.171002 0.093346 0.114659 0.194754 0.189197 0.157967 
0.165231 0.005436 0.001171 1 0.005599 0.011131 0.019469 0.019544 0.089697 0.088386 0.125501 0.111134 0.083527 0.149109 0.156605 0.117325 0.131513 0.156026 0.203799 0.112559 0.221043 0.160128 0.137060 0.120078 0.150161 0.149574 0.150551 0.127181 0.136035 0.146914 0.311620 0.325614 0.328812 0.346106 0.342648 0.341256 0.221598 0.211851 0.258614 0.250555 0.265905 0.223915 0.411290 0.437550 0.443089 0.427997 0.439032 0.279465 0.013189 0.016013 0.027291 0.009570 0.042688 0.034002 0.040999 0.033337 0.035761 0.002059 0.011649 0.030458 0.009078 0.053123 0.357015 0.416484 0.407240 0.003813 0.215420 0.218061 0.219686 0.208238 0.221345 0.221803 0.009153 0.014662 0.007754 0.019810 0.018514 0.010412 0.095194 0.124857 0.127714 0.116476 0.075742 0.110666 0.195284 0.154806 0.092313 0.029827 0.195875 0.106420 0.185201 0.130951 0.107745 0.167407 0.202078 0.145261 0.129679 0.006203 0.095630 0.083292 0.024422 0.185477 0.244628 0.155359 0.080888 0.098604 0.148149 0.100472 0.106126 4.079208 4.092028 4.047336 4.041416 4.060858 4.104282 3.938143 3.965282 4.011260 4.038014 4.122533 3.754949 4.026102 3.855465 4.051961 3.956681 3.900269 3.859559 4.001999 3.669453 3.683497 3.697553 3.686597 3.709541 3.667722 3.595631 3.608539 3.627872 3.642117 3.629066 3.652899 4.013474 4.110602 4.053729 4.100887 4.054742 4.137330 3.943872 3.992827 4.008826 4.047392 4.017015 4.022957 4.036574 3.710889 3.706462 3.682750 3.722043 3.677775 3.747575 3.743506 3.689590 3.646702 3.670212 3.635562 3.557005 4.149915 4.106488 4.150030 4.086051 4.119275 4.120464 3.616856 3.611323 3.643991 3.667656 3.638804 3.646771 3.869581 3.840981 3.841602 3.844545 3.835217 3.841155 3.662190 3.664368 3.664982 0.114149 0.074013 0.111717 0.172152 0.094495 0.115808 0.195902 0.190346 0.159117 
0.159712 0.010807 0.004479 0.005599 1 0.016708 0.025062 0.014633 0.084185 0.082876 0.119981 0.105618 0.089080 0.143608 0.151103 0.111830 0.125997 0.150499 0.198265 0.118050 0.215511 0.154598 0.131546 0.114552 0.144655 0.144059 0.145057 0.121687 0.130544 0.141420 0.317132 0.331132 0.334329 0.351623 0.348166 0.346772 0.227118 0.217378 0.264137 0.256078 0.271427 0.229444 0.416774 0.443030 0.448571 0.433481 0.444514 0.284982 0.018750 0.021594 0.032884 0.015061 0.048265 0.039594 0.035491 0.027824 0.030267 0.005301 0.006503 0.024979 0.005578 0.047707 0.362517 0.421973 0.412732 0.007803 0.209895 0.212538 0.214165 0.202721 0.215823 0.216276 0.014582 0.009629 0.005133 0.014701 0.013241 0.006616 0.089682 0.119326 0.122180 0.110946 0.070218 0.105154 0.189738 0.160299 0.097789 0.035095 0.190333 0.111866 0.179647 0.136463 0.113250 0.161885 0.196563 0.150783 0.135207 0.006245 0.090070 0.077714 0.019297 0.179933 0.239081 0.149870 0.086462 0.104166 0.153704 0.106030 0.111695 4.076365 4.089208 4.044698 4.038764 4.058199 4.101464 3.935271 3.962415 4.008405 4.035162 4.119729 3.752175 4.023273 3.852631 4.049106 3.953826 3.897420 3.856717 3.999139 3.666755 3.680787 3.694817 3.683882 3.706765 3.665024 3.592895 3.605836 3.625174 3.639388 3.626348 3.650190 4.010615 4.107773 4.051004 4.098050 4.052043 4.134509 3.941164 3.990127 4.006131 4.044688 4.014286 4.020260 4.033885 3.708138 3.703692 3.680009 3.719284 3.675043 3.744813 3.740775 3.686786 3.643994 3.667449 3.632832 3.554275 4.147131 4.103887 4.147432 4.083223 4.116656 4.117869 3.614171 3.608624 3.641271 3.664933 3.636117 3.644082 3.866860 3.838290 3.838903 3.841862 3.832533 3.838473 3.659480 3.661640 3.662250 0.108647 0.068540 0.106222 0.166623 0.088962 0.110274 0.190370 0.184817 0.153595 
0.176336 0.006163 0.012279 0.011131 0.016708 1 0.008536 0.030309 0.100804 0.099493 0.136610 0.122243 0.072418 0.160204 0.167700 0.128417 0.142619 0.167137 0.214908 0.101498 0.232149 0.171239 0.148166 0.131192 0.161259 0.160678 0.161639 0.138272 0.147122 0.158003 0.300549 0.314542 0.317742 0.335040 0.331580 0.330189 0.210508 0.200755 0.247527 0.239467 0.254820 0.212820 0.400261 0.426531 0.432070 0.416972 0.428012 0.268388 0.002826 0.005426 0.016234 0.003894 0.031571 0.022910 0.052111 0.044453 0.046867 0.012137 0.022672 0.041558 0.019525 0.064166 0.345962 0.405453 0.396205 0.010711 0.226523 0.229163 0.230787 0.219337 0.232446 0.232906 0.004628 0.025583 0.018016 0.030707 0.029526 0.020870 0.106302 0.135973 0.138830 0.127591 0.086858 0.121770 0.206397 0.143737 0.081272 0.019365 0.206988 0.095411 0.196317 0.119864 0.096665 0.178513 0.213177 0.134167 0.118580 0.014574 0.106752 0.094404 0.034768 0.196591 0.255734 0.166444 0.069771 0.087483 0.137035 0.089354 0.095008 4.085185 4.097960 4.052922 4.047026 4.066483 4.110212 3.944173 3.971303 4.017255 4.044006 4.128434 3.760801 4.032051 3.861423 4.057961 3.962682 3.906254 3.865532 4.008007 3.675148 3.689217 3.703321 3.692323 3.715382 3.673417 3.601393 3.614241 3.633565 3.647870 3.634794 3.658612 4.019481 4.116551 4.059481 4.106852 4.060443 4.143262 3.949591 3.998530 4.014521 4.053099 4.022771 4.028655 4.042256 3.716684 3.712295 3.688527 3.727856 3.683535 3.753394 3.749267 3.695484 3.652415 3.676029 3.641317 3.562757 4.155777 4.112003 4.155536 4.091997 4.124824 4.125968 3.622525 3.617016 3.649725 3.673399 3.644477 3.652448 3.875324 3.846668 3.847302 3.850217 3.840891 3.846826 3.667906 3.670124 3.670744 0.125246 0.085095 0.122810 0.183260 0.105611 0.126924 0.207010 0.201453 0.170224 
0.184415 0.014653 0.020596 0.019469 0.025062 0.008536 1 0.038072 0.108885 0.107575 0.144694 0.130328 0.064289 0.168231 0.175725 0.136436 0.150681 0.175224 0.223014 0.093596 0.240247 0.179333 0.156230 0.139286 0.169302 0.168744 0.169652 0.146292 0.155126 0.166017 0.292498 0.306470 0.309672 0.326966 0.323502 0.322118 0.202466 0.192694 0.239462 0.231404 0.246756 0.204746 0.392262 0.418537 0.424067 0.408966 0.420012 0.260331 0.006469 0.003587 0.007872 0.010362 0.023381 0.014608 0.060248 0.052614 0.054997 0.020214 0.030770 0.049683 0.027260 0.072105 0.337932 0.397439 0.388186 0.018332 0.234603 0.237239 0.238858 0.227396 0.240517 0.240994 0.011050 0.033543 0.025774 0.038607 0.037545 0.028622 0.114382 0.144087 0.146947 0.135701 0.094976 0.129839 0.214534 0.135801 0.073442 0.013727 0.215116 0.087668 0.204480 0.111875 0.088719 0.186585 0.221232 0.126141 0.110537 0.022844 0.114937 0.102652 0.043106 0.204721 0.263876 0.174445 0.061555 0.079321 0.128886 0.081211 0.086809 4.089099 4.101840 4.056511 4.050636 4.070107 4.114091 3.948133 3.975255 4.021193 4.047941 4.132292 3.764595 4.035940 3.865313 4.061893 3.966610 3.910168 3.869435 4.011943 3.678821 3.692911 3.707055 3.696023 3.719178 3.677091 3.605131 3.617925 3.637241 3.651596 3.638500 3.662303 4.023418 4.120449 4.063209 4.110761 4.064130 4.147149 3.953285 4.002213 4.018199 4.056807 4.026501 4.032336 4.045928 3.720441 3.716083 3.692269 3.731626 3.687264 3.757168 3.752993 3.699326 3.656106 3.679806 3.645043 3.566485 4.159606 4.115540 4.159073 4.095888 4.128390 4.129498 3.626180 3.620693 3.653434 3.677112 3.648135 3.656109 3.879034 3.850330 3.850976 3.853865 3.844541 3.850474 3.671599 3.673843 3.674470 0.133281 0.093096 0.130829 0.191348 0.113722 0.135036 0.215105 0.209538 0.178296 
0.146488 0.024969 0.018417 0.019544 0.014633 0.030309 0.038072 1 0.070980 0.069663 0.106779 0.092408 0.102317 0.130272 0.137771 0.098473 0.112777 0.137366 0.185167 0.131632 0.202401 0.141460 0.118310 0.101422 0.131345 0.130812 0.131666 0.108309 0.117144 0.128033 0.330401 0.344342 0.347543 0.364812 0.361350 0.359972 0.240450 0.230675 0.277405 0.269354 0.284693 0.242712 0.430075 0.456319 0.461836 0.446755 0.457788 0.298259 0.032014 0.034504 0.045904 0.027718 0.061433 0.052620 0.022681 0.015378 0.017503 0.018205 0.008152 0.012381 0.011089 0.034126 0.375796 0.435239 0.425995 0.020063 0.196723 0.199353 0.200966 0.189483 0.202628 0.203125 0.027031 0.005013 0.012370 0.001495 0.002864 0.009520 0.076468 0.106218 0.109087 0.097833 0.057156 0.091906 0.176747 0.173836 0.111447 0.049271 0.177306 0.125634 0.166745 0.149921 0.126770 0.148682 0.183314 0.164177 0.148575 0.019977 0.077351 0.065413 0.016841 0.166941 0.226150 0.136452 0.099526 0.117318 0.166852 0.119218 0.124762 4.067563 4.080445 4.036223 4.030270 4.049695 4.092706 3.926455 3.953603 3.999621 4.026384 4.110996 3.743490 4.014493 3.843858 4.040283 3.945007 3.888619 3.847931 3.990312 3.658244 3.672250 3.686237 3.675340 3.698123 3.656515 3.584362 3.597345 3.616680 3.630841 3.617827 3.641672 4.001799 4.099004 4.042393 4.089262 4.043477 4.125756 3.932580 3.981556 3.997566 4.036169 4.005672 4.011696 4.025334 3.699531 3.695057 3.671428 3.710659 3.666478 3.736175 3.732189 3.678106 3.635477 3.658840 3.624284 3.545753 4.138437 4.095482 4.139048 4.074449 4.108227 4.109483 3.605697 3.600137 3.632737 3.656380 3.627635 3.635592 3.858259 3.829739 3.830342 3.833324 3.823995 3.829936 3.650957 3.653064 3.653676 0.095339 0.055153 0.092873 0.153477 0.075956 0.097219 0.177264 0.171682 0.140401 
0.075582 0.094981 0.088544 0.089697 0.084185 0.100804 0.108885 0.070980 1 0.001458 0.035829 0.021458 0.173079 0.059465 0.066964 0.027733 0.041892 0.066475 0.114252 0.202114 0.131503 0.070526 0.047414 0.030494 0.060498 0.059911 0.060917 0.037547 0.046423 0.057275 0.400868 0.414816 0.418009 0.435252 0.431801 0.430416 0.311045 0.301311 0.347981 0.339939 0.355257 0.313345 0.500260 0.526437 0.531956 0.516914 0.527912 0.368776 0.102646 0.105320 0.116742 0.098545 0.132240 0.123475 0.048712 0.056372 0.053953 0.088738 0.078166 0.059261 0.081701 0.036952 0.446146 0.505440 0.496223 0.090657 0.125836 0.128473 0.130093 0.118622 0.131755 0.132236 0.097903 0.075364 0.083216 0.070360 0.071355 0.080392 0.005503 0.035248 0.038121 0.026861 0.014001 0.020977 0.105827 0.244329 0.181855 0.118963 0.106380 0.195896 0.095850 0.220516 0.197331 0.077775 0.112456 0.234812 0.219243 0.087969 0.008792 0.011636 0.069450 0.096039 0.155288 0.065738 0.170380 0.188138 0.237635 0.190018 0.195606 4.029951 4.043112 4.001168 3.995060 4.014382 4.055385 3.888608 3.915796 3.961952 3.988728 4.073850 3.706929 3.977086 3.806491 4.002528 3.907304 3.851045 3.810461 3.952533 3.622702 3.636533 3.650196 3.639577 3.661585 3.620970 3.548406 3.561788 3.581169 3.594925 3.582078 3.606015 3.964039 4.061557 4.006260 4.051712 4.007674 4.088399 3.896724 3.945775 3.961828 4.000374 3.969528 3.975937 3.989661 3.663301 3.658582 3.635335 3.674310 3.630500 3.699775 3.696172 3.641228 3.599828 3.622488 3.588365 3.509892 4.101532 4.060852 4.104448 4.037028 4.073372 4.074924 3.570353 3.564630 3.596941 3.620523 3.592249 3.600174 3.822293 3.794154 3.794666 3.797839 3.788502 3.794459 3.615276 3.617143 3.617705 0.024533 0.016028 0.022152 0.082560 0.006094 0.026345 0.106361 0.100783 0.069495 
0.076892 0.093675 0.087233 0.088386 0.082876 0.099493 0.107575 0.069663 0.001458 1 0.037148 0.022766 0.171780 0.060790 0.068291 0.029066 0.043242 0.067818 0.115579 0.200822 0.132831 0.071861 0.048745 0.031850 0.061813 0.061231 0.062226 0.038858 0.047745 0.058587 0.399577 0.413524 0.416717 0.433962 0.430510 0.429125 0.309748 0.300012 0.346686 0.338643 0.353962 0.312047 0.498980 0.525159 0.530678 0.515634 0.526635 0.367485 0.101344 0.104012 0.115432 0.097235 0.130933 0.122164 0.047399 0.055062 0.052638 0.087423 0.076852 0.057947 0.080402 0.035662 0.444860 0.504159 0.494941 0.089360 0.127162 0.129796 0.131416 0.119944 0.133079 0.133560 0.096591 0.074049 0.081895 0.069040 0.070043 0.079071 0.006830 0.036572 0.039448 0.028193 0.012719 0.022300 0.107161 0.243037 0.180566 0.117679 0.107712 0.194607 0.097187 0.219221 0.196036 0.079106 0.113779 0.233516 0.217946 0.086691 0.009979 0.011223 0.068226 0.097382 0.156626 0.067047 0.169075 0.186834 0.236333 0.188715 0.194302 4.030551 4.043706 4.001719 3.995614 4.014937 4.055978 3.889220 3.916406 3.962556 3.989331 4.074439 3.707522 3.977684 3.807097 4.003133 3.907912 3.851654 3.811069 3.953140 3.623279 3.637112 3.650781 3.640157 3.662180 3.621547 3.548993 3.562367 3.581747 3.595510 3.582660 3.606595 3.964645 4.062152 4.006831 4.052310 4.008239 4.088991 3.897295 3.946342 3.962394 4.000940 3.970101 3.976502 3.990224 3.663889 3.659177 3.635922 3.674901 3.631085 3.700365 3.696755 3.641831 3.600408 3.623080 3.588950 3.510478 4.102114 4.061391 4.104984 4.037623 4.073915 4.075461 3.570927 3.565208 3.597523 3.621106 3.592823 3.600749 3.822870 3.794725 3.795238 3.798408 3.789072 3.795027 3.615855 3.617727 3.618290 0.025885 0.014803 0.023503 0.083898 0.007475 0.027718 0.107699 0.102123 0.070832 
